Year,Total
1991,4617290
1992,4990050
1993,5409310
1994,5886190
1995,6450610
1996,7121690
1997,7475270
1998,7579530
1999,7975500
2000,8671940
2001,8662100
2002,8598050
2003,8465140
2004,9906490
2005,10666100
2006,10910580
2007,11613820
2008,12114550
2009,12494720
2010,13572700
2011,14325140
2012,15120530
2013,15946220
2014,16772730
2015,17580270
2016,18989650
2017,20128150
2018,21139590
2019,21618800
2020,4949400
2021,765060
2022,9710170
2023,4330780
,
,
,
